,職務名稱:,公司名稱:,招募人數:,職務類別:,職務等級:,工作地點:,薪資範圍:,工作年資:,管理責任:,工作說明:,網站連結:
10,🚀 物聯網 AIoT 資料工程師Data Engineer - TL,Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Zhongzheng District, Taipei City, Taiwan",1.4M ~ 2M TWD / year,4 years of experience required,No management responsibility,"公司介紹
這是一家專注於「智慧能源科技」的中大型軟體公司，致力於以 AIoT 平台技術 連結數以萬計的能源裝置，協助客戶監控、分析並優化能源使用效率。
公司擁有穩定的國際客戶群與高市佔率，產品被廣泛應用於再生能源與智慧工廠領域。
研發團隊以高技術門檻為驕傲，面對每日上億筆資料的挑戰，持續打造高併發、高可用的雲端資料平台。
在這裡，你將能參與真正大規模的資料流架構優化，與一群熱愛技術、願意理性討論的夥伴一起成長。
工作內容


建構並維運單日上億筆電力時序資料的 AIoT 雲端資料流架構（資料流、統整、儲存、分析與事件偵測）


與 SRE 團隊合作，量化系統效能、提出優化與轉移計畫，確保系統能支援倍數成長的業務量


開發並優化高可用性系統、異地備援及災後恢復機制


與 Fullstack、SRE 團隊協作，將資料流架構平台化，支援多樣能源 AIoT 應用產品


持續推動系統架構優化，以平衡成本與效能，打造能承載全球規模的資料平台


使用技術
RabbitMQ、Fluentd、Elasticsearch、InfluxDB、Redis、MySQL、Spark、Kafka、SFTP/FTPS
Python（主要）、Golang、Rust
Linux、Docker、Kubernetes（K8s）、GCP/AWS/Azure",www.cake.me//companies/cake-recruitment-consulting/jobs/data-engineer-tl
11,[Bosch R&D - Internship] Data Engineer Intern,Bosch Vietnam,5,Full-time,Internship,"Ho Chi Minh City, Vietnam",No requirement for relevant working experience,No management responsibility,,"Company Description
Bosch first started in Vietnam with a representative office in 1994. Bosch has its main office in Ho Chi Minh City, with branch offices in Hanoi and Da Nang, and a Powertrain Solutions plant in the Dong Nai province to manufacture pushbelt for continuously variable transmissions (CVT) in automobiles. In addition, Bosch operates a software and engineering RD center (Robert Bosch Engineering and Business Solutions Vietnam Co., Ltd).
In July 2014, Bosch set up a new Automotive RD Center, located in Ho Chi Minh City. The continuous growth of this Centre is in line with Bosch’s strategy in Vietnam, which aims at becoming a manufacturing and RD hub in the Southeast Asian region. Currently four products are available: connectors, pushbelt, fuel supply, and diagnosis module (tank leakage).
For further information, please visit our website: www.bosch.com.vn
Job Description








Designing and implementing data pipelines from multiple sources using Azure Databricks or Hadoop ecosystemDeveloping scalable and re-usable frameworks for ingesting of data setsIntegrating end to end data pipeline - to take data from source systems to target data repositories ensuring quality and consistency of data is maintained at all timesWorking with event based / streaming / scheduling technologies to ingest and process dataWrite python script to process data according to the needs from other engineersBuild dashboard using PowerBI or Tableau to fulfill the need from end usersEvaluating the performance and applicability of multiple tools for the automated data pipelineInvolve in application development using low-code platforms such as PowerApps and Outsystems.Involve in AI solution development in the organization focus on building python script for data processing",www.cake.me//companies/bosch-vietnam-bd2881/jobs/bosch-r-d-internship-data-engineer-intern
12,Data Platform Engineer / Data Engineer 資料處理工程師,諾克思股份有限公司,1,Full-time,Mid-Senior level,"Neihu District, Taipei City, Taiwan",70K ~ 120K TWD / month,3 years of experience required,No management responsibility,"我們正在尋找一位能設計與建置 可擴展的資料平台，並推動資料基礎設施升級的工程師。此職位將與團隊合作，從 資料源頭→ pipeline → Lakehouse → dashboard → AI 應用，全面性地規劃與執行。【工作內容】資料平台與基礎建設•	設計與維護 資料管線(CDC, Streaming, Batch)，整合Debezium + Kafka + Spark + Iceberg Catalog。•	建立 Lakehouse 架構，支持 Bronze / Silver / Gold 分層數據治理。•	使用Airflow + dbt 進行workflow 與transformation orchestration。•	協助資料治理 (lineage, catalog, metadata)，確保數據準確性與可追溯性。Dashboard 與數據應用•	與商務團隊合作，設計營運報表、用戶行為數據追蹤、BI dashboard (Superset, Metabase)。•	優化數據模型與SQL  查詢，提升報表效能與準確度。技術迭代與專案交付•	規劃並推動資料平台升級，將現有系統轉換至 Modern Data Stack。•	撰寫技術文件，制定測試策略，並進行團隊知識分享。•	確保數據平台的 高可用性、安全性與可擴展性。未來支援方向•	規劃 推薦系統、搜索服務、內容審查 等應用場景的數據支援。•	建立feature store、近即時數據處理，支持Machine Learning pipeline 與生成式AI專案。",www.cake.me//companies/nyx/jobs/data-platform-engineer-data-engineer-data-processing-engineer
13,統一超商資深資料工程師(uniopen客戶資料平台CDP),統一超商股份有限公司（7-ELEVEN),2,Full-time,Entry level,"Xinyi District, Taipei City, Taiwan 110・Taipei City, Taiwan",50K ~ 120K TWD / month,5 years of experience required,No management responsibility,"[本職缺僅接受104網站投遞]
請至統一超商104招募頁面投遞個人履歷表，路徑指引:https://www.104.com.tw/job/8p2a1?jobsource=googleCDP 與數據策略● 設計 CDP 資料架構與數據模型，整合多來源數據，支援行銷自動化。● 定義數據關鍵指標（如延遲、吞吐量），運用 data observability 確保資料品質與一致性。高效數據管道建置● 開發基於 Kafka 或 Flink 的即時數據流，以及 Airflow 調度的批次處理管道。● 使用 Delta Lake 或 Snowflake 建置數據湖/倉庫，支援電商場景的高效查詢。● 優化數據處理流程，確保低延遲與高吞吐量。● 分析數據流效能，持續優化 ETL/ELT 流程，提升可靠度。跨部門協作● 與資料科學團隊合作，透過 MLOps 支援模型部署與訓練。● 與行銷、產品、資料科學團隊對接，推動數據驅動專案。● 具指導初/中階工程師經驗，能主導技術規劃與問題排查。資料合規● 設計符合 GDPR、CCPA 的資料模型與治理流程，確保資料安全與隱私。",www.cake.me//companies/7eleventw/jobs/aa595a
14,資料分析師,群健科技股份有限公司Cofit Healthcare Inc.,1,Full-time,Mid-Senior level,"Taipei City, Taiwan",60K ~ 80K TWD / month,3 years of experience required,No management responsibility,"★ 關於 Cofit
Hi，我們是 Cofit，正在打造一個橫跨台灣、美加、新加坡、香港、大陸和東南亞的跨境健康平台，把台灣優秀的醫療和服務輸出，幫助世界各地華人輕鬆減肥、健身、遠離三高！熱情邀請對網路、健康美食有興趣的夥伴加入我們，一起參與團隊的成長和壯大！在這裡你將得到最大的授權、盡情發揮！絕對自由的工作環境、創業精神的實踐、還能獲得終生受用的健康知識。★ 工作內容1. 資料處理與整合- 蒐整並清理營運、行銷、醫療與服務等多來源資料（含 App、CRM、內部系統）。- 撰寫 SQL / Python 進行資料轉換、指標整合與品質驗證。- 與 Data Engineer 合作，優化分析層結構與資料效能，確保一致性與可追蹤性。2. 資料分析與應用- 分析營運、行銷、客戶輪廓與臨床數據，發掘趨勢與關鍵影響因素，提供具行動性的洞察與建議。- 建立並維護報表與分析介面（Metabase、Tableau、Looker Studio、MicroStrategy）。3. 資料視覺化與洞察傳遞- 以清晰圖表與文字呈現分析結果，促進決策與跨部門協作。- 製作簡報與報告，支援高階會議與專案溝通。- 建立標準化資料呈現與報表格式，確保資訊透明與一致。★ 文化與價值觀- 享受新創團隊充滿挑戰的生活。- 能接受新鮮事物，與各領域人才交流學習。- 面對問題能快速分析，找出問題點與解決方案。- 重視細節，對於自己交付出的成果負責且自豪。- 主動溝通，就事論事，有自己的想法但不固執。- 重視自我能力精進，經常思考「還有更好的解決方式嗎？」",www.cake.me//companies/cofit-healthcare-inc/jobs/data-engineer-fa6
15,⚙️ Hybrid + 技術決策權｜AIoT 雲端資料架構師 Data Architect-TL,Cake Recruitment Consulting,1,Full-time,Mid-Senior level,"Zhongzheng District, Taipei City, Taiwan",1.5M ~ 2.4M TWD / year,8 years of experience required,No management responsibility,"公司介紹
這是一家在 智慧能源與 AIoT 雲端平台 領域具領導地位的軟體公司，產品已廣泛應用於再生能源監控與工業物聯網。
公司以 資料為核心資產，每日處理超過數億筆能源時序資料，持續打造高併發、高可靠性的全球級資料平台。
團隊文化極度重視技術品質與架構思維，鼓勵理性討論與開放交流。這裡沒有僵化階層，只有對卓越架構與效能極限的共同追求。
若你渴望設計能支撐 10 倍流量成長的 AIoT 系統，這將是你能充分發揮技術與影響力的舞台。
工作內容


主導設計與優化雲端 AIoT 資料流架構，涵蓋資料流、整併、儲存分析與事件偵測模組


與 SRE 團隊合作，進行架構效能瓶頸分析與轉移計畫設計，推動大規模系統效能提升


建構高可用性系統、異地備援與災難復原機制，確保雲端平台穩定性


與 Fullstack 團隊協作，推動資料流平台化，支援多產品資料需求


引領團隊進行新技術評估與雲端架構演進，持續優化資料處理策略


擔任跨部門技術橋樑，提供架構決策、團隊規劃與技術指導


使用技術
RabbitMQ、Fluentd、Elasticsearch、InfluxDB、Redis、MySQL、Spark、Kafka、SFTP/FTPS
Python（主程式語言）、Golang、Rust
Linux、Docker、Kubernetes（K8s）、GCP / AWS / Azure



成長挑戰
你將直接面對單日數億筆資料、百 TB 級別的儲存與分析挑戰，並主導雲端架構的演進與平台化。
在這個角色中，你不只是工程師，更是 架構決策者與技術推動者，有機會定義下一代能源 AIoT 資料平台的形貌。",www.cake.me//companies/cake-recruitment-consulting/jobs/hybrid-technical-decision-making-power-aiot-cloud-data-architect-tl
16,Data Engineer 資料工程師,HackMD 嗨筆記股份有限公司,1,Full-time,Mid-Senior level,"Taipei City, Taiwan",1M ~ 1.2M TWD / year,2 years of experience required,No management responsibility,"你將會負責的工作內容：
設計並維運資料平台，整合關聯式資料庫與使用者行為日誌，支援產品與分析需求開發並最佳化 ETL / ELT 流程，確保資料的正確性、時效性與可擴展性與資料科學家與產品經理協作，將業務需求轉化為資料模型與資料產品協助機器學習模型的特徵工程、推論流程與排程部署最佳化既有資料流程效能，並確保資料安全性與存取權限符合內部規範撰寫內部文件與技術 Best Practices，提升團隊開發效率與知識傳承
薪資範圍：
新台幣 100-120 萬元 (年薪)，如超出條件可面議彈性遠距辦公，實體辦公室地點：松江南京站，走路 10 分鐘，公園旁邊，鬧中取靜
聯絡方式：
內文請附上個人經歷與過去的經驗分享，我們很樂於聽您分享故事",www.cake.me//companies/hackmd/jobs/data-engineer-318355
17,【日本東京】知名新創企業  機器學習運用工程師(MLOps),Mynavi 台灣邁那比股份有限公司,1,Full-time,Entry level,"Zhudong Township, Hsinchu County, Taiwan, 310・Tokyo Metropolis, Japan・Tokyo, Tokyo Metropolis, Japan",7M ~ 12M JPY / year,3 years of experience required,No management responsibility,"以「釋放製造業的潛力」為使命，致力於推動製造業的數據平台產品。
2022 年透過機器學習等多種技術，將製造業中極為重要的圖面數據進行結構化，並與各類資訊連結，讓圖面能夠作為資訊資產被靈活運用。該產品目前已被日本國內眾多大型製造商與加工公司廣泛採用，成長迅速。
自 2023 年起，我們也開始向海外市場拓展，包括美國、泰國、越南等地，加速推進全球佈局。
未來，我們將不只限於圖面資料，而是致力於透過科技手段，重現與整合製造業的專業知識，實現跨部門、跨企業的整體最適化。【工作內容】
MLOps 工程師將與機器學習工程師密切合作，負責建構、維護與營運能夠穩定提供機器學習與數據科學模型的系統基礎架構。此外，您也將引領建立數據收集管線，並推動數據資產活用。
以下為工作內容示例，實際工作項目不僅限於此，入職後的工作範疇將依據您的技術能力、專業知識與經驗共同討論決定：


建構支援機器學習模型推論的 API 與 Batch 運行環境，及使用 CI/CD 進行部署的系統架構


在正式環境中執行監控、效能調校等提升 Site Reliability 的相關開發


使用 Vertex AI 或 Argo Workflow 建立、維護與運營機器學習處理流程（Pipeline）


最佳化推論與訓練平台的成本效益


與建模人員、平台工程團隊進行有效溝通，並將相關流程進行文件化與制度化
■ 使用語言


前端：TypeScript


後端：Rust、TypeScript、Python


■ 框架與函式庫


前端：React、Next.js、WebGL、WebAssembly


後端：Rust（axum）、Node.js（Express、Fastify、NestJS）、PyTorch


■ 基礎架構


Google Cloud、Google Kubernetes Engine（GKE）、Anthos Service Mesh

■ 資料庫／資料倉儲


CloudSQL（PostgreSQL）、AlloyDB、Firestore、BigQuery

■ API


GraphQL、REST、gRPC

■ 監控與效能追蹤


Datadog、Sentry、Cloud Monitoring

■ 環境建置


Terraform


■ CI/CD


GitHub Actions


■ 認證管理


Auth0


■ 開發工具


GitHub、GitHub Copilot、Figma、Storybook

■ 團隊溝通工具


Slack、Discord、JIRA、Miro、Confluence",www.cake.me//companies/mynavi/jobs/ca-mlops
18,"(全遠端) 資料工程師 / AI & Data Engineer - 推薦系統, AI Agent",Rooit Inc. (XO App),1,Full-time,Mid-Senior level,"Tainan City, Taiwan・Taiwan・Taichung City, Taiwan・Kaohsiung City, Taiwan",50K ~ 100K TWD / month,1 years of experience required,No management responsibility,"優化 XO匿名交友app 卡片內容推薦系統，每月超過千萬次滑動、千萬則資料等待你一起探勘優化產品
使用 python、SQL 等工具建置符合產品需求的 Data Pipeline參與專案產品的設計與開發（推薦系統、客戶行為分析、銷售預測、影像辨識、語意分析 ...）",www.cake.me//companies/rooit-me/jobs/full-remote-data-engineer-data-engineer
19,Data Engineer,"Polymer Systematic Taiwan Limited, Taiwan Branch",1,Full-time,Mid-Senior level,"Taipei City, Taiwan",50K ~ 90K TWD / month,2 years of experience required,No management responsibility,"Company Introduction
Polymer Capital Management is a market-neutral, multi-manager investment platform focused on Asia. Our goal is to discover and nurture the region's top investment talent by combining established institutional support with extensive local financial market knowledge. We were founded in partnership with PAG, one of the world's largest Asia-focused alternative asset managers, and we have been operational since 2019.
Job Brief
We are looking for Data Engineers to join our hedge fund and manage our data operations. You will be responsible for engaging with various data vendors, designing and implementing data pipelines, and ensuring data quality and security. You will also support the data infrastructure and pipelines of the fund.
Responsibilities:
Engage with various data vendors to find the best data for the fund’s investment and trading activitiesEvaluate data quality, delivery timing, frequency, method, and symbology of different data sourcesFollow up contract and budget approval process with data vendors and internal stakeholdersKeep records of cost splits and propose ratio drafts for data vendor invoicesDesign data pipelines to process various internal and external data according to the nature of the data and the need of internal usersMake sure the data pipeline and storage solutions are performant and scalableImplement automated data quality checks and alert system to monitor and troubleshoot data issuesProvide adequate access control and usage audit solutions to ensure data security and complianceResearch and evaluate latest data related technologies and tools to keep our data platform updated and competitiveLead and mentor a team of data engineers and ensure they have the necessary skills, tools, and resources to perform their tasksCollaborate with the investment and trading teams to understand their data needs and provide them with relevant and timely data access and delivery
Why join us?
You'll work full-time in our centrally located office in the heart of Taipei, alongside a team of highly driven professionals eager to learn and develop their skills. We celebrate diversity and are dedicated to creating an inclusive environment for all employees. With 12 offices across the region, Polymer teams collaborate to tackle meaningful challenges at scale.
Some of our Benefits 
Annual paid leave Medical group insuranceMonthly gym subsidy
Email resume to: [email protected] (Subject Line: HC Department RE: Job Title)
www.polymercapital.com",www.cake.me//companies/polymertaiwan/jobs/senior-front-end-developer-61e06c
